"date","PM25","city"
"2017-08-13",34,"puerto_montt"
"2017-08-14",36,"puerto_montt"
"2017-08-15",60,"puerto_montt"
"2017-08-16",29,"puerto_montt"
"2017-08-17",13,"puerto_montt"
"2017-08-18",36,"puerto_montt"
"2017-08-19",51,"puerto_montt"
"2017-08-20",20,"puerto_montt"
"2017-08-21",10,"puerto_montt"
"2017-08-22",32,"puerto_montt"
"2017-08-23",16,"puerto_montt"
"2017-08-24",43,"puerto_montt"
"2017-08-25",31,"puerto_montt"
"2017-08-26",47,"puerto_montt"
"2017-08-27",39,"puerto_montt"
"2017-08-28",49,"puerto_montt"
"2017-08-29",88,"puerto_montt"
"2017-08-30",36,"puerto_montt"
"2017-08-31",16,"puerto_montt"
"2017-09-01",28,"puerto_montt"
"2017-09-02",27,"puerto_montt"
"2017-09-03",44,"puerto_montt"
"2017-09-04",64,"puerto_montt"
"2017-09-05",35,"puerto_montt"
"2017-09-06",60,"puerto_montt"
"2017-09-07",44,"puerto_montt"
"2017-09-08",69,"puerto_montt"
"2017-09-09",30,"puerto_montt"
"2017-09-10",43,"puerto_montt"
"2017-09-11",24,"puerto_montt"
"2017-09-12",96,"puerto_montt"
"2017-09-13",43,"puerto_montt"
"2017-09-14",63,"puerto_montt"
"2017-09-15",76,"puerto_montt"
"2017-09-16",44,"puerto_montt"
"2017-09-17",58,"puerto_montt"
"2017-09-18",23,"puerto_montt"
"2017-09-19",49,"puerto_montt"
"2017-09-20",46,"puerto_montt"
"2017-09-21",29,"puerto_montt"
"2017-09-22",32,"puerto_montt"
"2017-09-23",39,"puerto_montt"
"2017-09-24",47,"puerto_montt"
"2017-09-25",24,"puerto_montt"
"2017-09-26",7,"puerto_montt"
"2017-09-27",10,"puerto_montt"
"2017-09-28",37,"puerto_montt"
"2017-09-29",15,"puerto_montt"
"2017-09-30",32,"puerto_montt"
"2017-10-01",33,"puerto_montt"
"2017-10-02",34,"puerto_montt"
"2017-10-03",14,"puerto_montt"
"2017-10-04",29,"puerto_montt"
"2017-10-05",51,"puerto_montt"
"2017-10-06",41,"puerto_montt"
"2017-10-07",47,"puerto_montt"
"2017-10-08",23,"puerto_montt"
"2017-10-09",36,"puerto_montt"
"2017-10-10",75,"puerto_montt"
"2017-10-11",33,"puerto_montt"
"2017-10-12",7,"puerto_montt"
"2017-10-13",18,"puerto_montt"
"2017-10-14",14,"puerto_montt"
"2017-10-15",17,"puerto_montt"
"2017-10-16",28,"puerto_montt"
"2017-10-17",28,"puerto_montt"
"2017-10-18",32,"puerto_montt"
"2017-10-19",42,"puerto_montt"
"2017-10-20",25,"puerto_montt"
"2017-10-21",31,"puerto_montt"
